program,python_experience,pandas_skill,os,dark_mode,languages,dob,waketime,bedtime,favorite_movie,movie_genres,hobbies,num_languages,age
master's (ds) [extension school],4+ years,4,Linux,True,"english, german",1984-12-03,1900-01-01 07:00:00,1900-01-01 00:30:00,mullholand drive,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary, experimental/avant-garde/artsy-fartsy","playing guitar, language learning, watching movies",2,38.0
master's (cse),4+ years,3,MacOS,False,"english, chinese, french",2001-05-05,1900-01-01 06:30:00,1900-01-01 01:00:00,interstellar,"action, sci-fi","tennis, cooking, swimming",3,22.0
master's (ds),Less than 1 year,1,MacOS,False,"swedish, english, french",2000-08-10,1900-01-01 08:00:00,1900-01-01 23:30:00,interstellar,"action, comedy, drama","playing tennis, watching f1, going to concerts",3,23.0
bachelor's (mathematics),1-2 years,2,Linux,False,"hakka, mandarin, french, english",2003-02-11,1900-01-01 08:45:00,1900-01-01 12:30:00,molly's game,"comedy, drama, mystery/thriller, romance, documentary","figure skating, rock climbing, drinking wine",4,20.0
master's (ds),2-4 years,2,MacOS,True,"english, norwegian, italian, spanish",2002-10-11,1900-01-01 08:00:00,1900-01-01 00:00:00,harry potter,"action, comedy, drama, mystery/thriller, romance, documentary","playing soccer, hang out with friends, play board games",4,20.0
master's (mde),1-2 years,1,MacOS,False,"english, mandarin",1997-02-21,1900-01-01 08:30:00,1900-01-01 01:00:00,the truman show,"action, drama, sci-fi, fantasy, romance","dancing, painting, board games",2,26.0
master's (ds),4+ years,3,MacOS,True,english,2000-11-13,1900-01-01 06:00:00,1900-01-01 00:00:00,step brothers,comedy,"lifting, gaming, sleeping",1,22.0
master's (ds),1-2 years,1,MacOS,False,english,1997-03-11,1900-01-01 11:00:00,1900-01-01 01:00:00,kung fu panda,"action, romance","nintendo, watching football, taking a walk",1,26.0
phd,1-2 years,3,MacOS,False,"english, spanish",2000-11-21,1900-01-01 07:15:00,1900-01-01 23:00:00,avengers: endgame,"action, comedy, drama, sci-fi, fantasy, romance","reading, cooking, listening to music",2,22.0
bachelor (meche),2-4 years,3,MacOS,True,"italian, english, spanish",2002-02-23,1900-01-01 09:30:00,1900-01-01 02:00:00,rush,"action, comedy, drama, sci-fi, documentary","formula 1, welding, chess",3,21.0
master's (ds) [extension school],Less than 1 year,2,MacOS,True,"english, malayalam, spanish ",1992-04-25,1900-01-01 06:45:00,1900-01-01 23:30:00,,"comedy, horror, sci-fi, fantasy, mystery/thriller","hiking, long distance running",3,31.0
ms/mba,1-2 years,3,Windows,False,chineses,2000-05-10,1900-01-01 08:00:00,1900-01-01 11:30:00,,sci-fi,"reading online novel, playing table tennis, meditating",1,23.0
bachelor's (cs),2-4 years,4,Windows,True,"english, chinese",2003-02-17,1900-01-01 09:00:00,1900-01-01 01:00:00,fight club,"action, horror, sci-fi, fantasy, mystery/thriller","weightlifting, video games",2,20.0
bachelor's (chemistry),2-4 years,2,MacOS,True,"english, mandarin",2002-09-11,1900-01-01 09:00:00,1900-01-01 01:00:00,amadeus,"action, comedy, drama, documentary","piano, chess, bridge",2,21.0
bachelor's(physics/math joint),1-2 years,3,MacOS,True,english,2002-04-03,1900-01-01 08:00:00,1900-01-01 00:00:00,spider-man: into the spider-verse,"action, comedy, fantasy","poker, basketball, long walks",1,21.0
master's (ds),1-2 years,2,MacOS,True,"english, chinese",2000-01-25,1900-01-01 08:20:00,1900-01-01 01:20:00,the matrix,"action, sci-fi, mystery/thriller","movies, lego sets, jogging",2,23.0
master's (mde),Less than 1 year,2,Windows,False,"english, madarin, japanese",1997-10-23,1900-01-01 07:30:00,1900-01-01 12:00:00,interstella,"comedy, sci-fi, fantasy, romance","traveling, learning new languages, swimming",3,25.0
phd,4+ years,1,MacOS,False,"english, mandarin chinese",1998-04-30,1900-01-01 09:30:00,1900-01-01 01:30:00,inception,"action, drama, horror, sci-fi, fantasy, mystery/thriller","singing, reading, playing piano",2,25.0
master's (ds) [extension school],4+ years,3,MacOS,True,"english, spanish, sql",1979-08-21,1900-01-01 06:00:00,1900-01-01 22:00:00,dr. strangelove,"action, comedy, drama, mystery/thriller, romance, documentary","riding bike, watching liverpool fc, traveling",3,44.0
bachelors (earth and planetary sciences),2-4 years,3,MacOS,True,"english, spanish, french",2001-12-12,1900-01-01 07:30:00,1900-01-01 00:30:00,shrek,"action, comedy, horror","running, dancing, hanging out with friends",3,21.0
master's (ds),2-4 years,3,MacOS,False,english,2001-01-04,1900-01-01 08:30:00,1900-01-01 00:30:00,dear evan hansen (2021),"action, comedy, drama, romance, documentary","running, puzzles, pickleball",1,22.0
bachelor's (math),Less than 1 year,1,Windows,True,english,2001-11-10,1900-01-01 07:00:00,1900-01-01 00:00:00,shrek,horror,"loafing, walking, just dance",1,21.0
bachelor's (history),Less than 1 year,1,MacOS,True,"english, spanish",2001-05-18,1900-01-01 08:30:00,1900-01-01 01:30:00,,"action, comedy, fantasy, anime","existential crisis, playing music, loafing",2,22.0
bachelor's (cs),2-4 years,3,MacOS,True,english,2002-01-21,1900-01-01 08:15:00,1900-01-01 00:30:00,rocky,"action, comedy, mystery/thriller","playing fantasy football, hanging out with friends, sports betting",1,21.0
bachelors (government),Less than 1 year,1,Windows,False,"malayalam, spanish, english",2004-04-09,1900-01-01 08:30:00,1900-01-01 02:00:00,coraline,horror,"eating good food, exploring cool places, and making new friends",3,19.0
cross register from mit,1-2 years,1,MacOS,True,"chinese, english",2001-01-18,1900-01-01 08:30:00,1900-01-01 12:27:00,flipped,"action, comedy, drama, fantasy, romance, documentary","kayaking, singing, watching movies",2,22.0
bachelor's (cs),2-4 years,4,Windows,True,english,2003-07-16,1900-01-01 08:00:00,1900-01-01 23:30:00,avatar,"action, sci-fi, fantasy","golf, poker, ping pong",1,20.0
bachelor's (cs),1-2 years,1,MacOS,False,"english, spanish",2002-05-14,1900-01-01 09:30:00,1900-01-01 01:00:00,train to busan,"action, comedy, drama, sci-fi, mystery/thriller","weightlifting, hiking, reading",2,21.0
bachelor's (am),4+ years,4,MacOS,False,"english, python",2001-09-04,1900-01-01 09:00:00,1900-01-01 11:30:00,miracle,"action, comedy, fantasy, romance, documentary, romcom","baseball, hiking, watching hockey",2,22.0
bachelor's (cs),1-2 years,3,Windows,True,english,2003-02-17,1900-01-01 08:00:00,1900-01-01 00:00:00,lord of the rings return of the king,"action, comedy, sci-fi, fantasy","running, reading, hiking",1,20.0
bachelor's (social studies),2-4 years,1,MacOS,False,"english, spanish, hebrew",,1900-01-01 09:00:00,1900-01-01 01:00:00,,"action, comedy, mystery/thriller","hiking, biking, backpacking",3,
bachelor's (economics),Less than 1 year,2,MacOS,True,english,2002-10-28,1900-01-01 07:50:00,1900-01-01 11:45:00,train to busan,"comedy, sci-fi, fantasy, mystery/thriller, romance","reading, taekwondo, magic the gathering",1,20.0
master's (ds) [extension school],Less than 1 year,1,MacOS,True,"english, korean, german, french, chinese (mandarin)",1990-08-31,1900-01-01 07:20:00,1900-01-01 00:00:00,the shawshank redemption,"drama, sci-fi, fantasy, mystery/thriller","playing piano, playing tennis, traveling",5,33.0
bachelor's (am),1-2 years,3,MacOS,True,"mandarin, cantonese, english",2001-12-01,1900-01-01 06:00:00,1900-01-01 00:00:00,interstellar,"comedy, sci-fi, fantasy, mystery/thriller, romance, documentary","cooking, working out, listening to music",3,21.0
bachelor's (statistics),Less than 1 year,2,MacOS,False,"english, mandarin",2001-09-17,1900-01-01 07:00:00,1900-01-01 02:00:00,la la land,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","playing tennis, going hiking, jazz music",2,21.0
bachelor's (statistics),1-2 years,3,MacOS,False,"english, greek",2002-01-17,1900-01-01 09:00:00,1900-01-01 01:30:00,raging bull,"comedy, drama, horror, fantasy, mystery/thriller","hooping, peeing, watching pavlos lecture",2,21.0
master's (ds),2-4 years,3,Windows,False,"english, korean, french",2000-05-10,1900-01-01 07:30:00,1900-01-01 00:30:00,the silence of the lambs,"action, sci-fi, mystery/thriller","guitar, swimming, hiking",3,23.0
phd,Less than 1 year,2,MacOS,False,"python, bash",1998-06-16,1900-01-01 07:00:00,1900-01-01 00:00:00,lady bird,"comedy, cerebral","cycling, photography, weights",2,25.0
master's (ds),2-4 years,3,Windows,True,"english, hindi, gujarati",2002-01-26,1900-01-01 12:00:00,1900-01-01 03:00:00,rockstar,"comedy, sci-fi, documentary","weightlifting, sudokus, quizzing",3,21.0
master's (ds),4+ years,5,MacOS,False,thai,1997-12-29,1900-01-01 09:00:00,1900-01-01 01:00:00,kung fu panda,"action, comedy, fantasy, mystery/thriller","table tennis, eating, video gaming",1,25.0
bachelor's (cs),1-2 years,1,MacOS,True,english,2002-03-22,1900-01-01 08:00:00,1900-01-01 00:00:00,anchorman 2,"comedy, romance","lifting weights, reading, training my bird",1,21.0
master's (ds) [extension school],1-2 years,3,Windows,False,"english, indonesia",1975-11-24,1900-01-01 07:00:00,1900-01-01 23:00:00,bourne identity,"action, comedy, drama, sci-fi, documentary","running, tennis, swimming",2,47.0
ms/mba,2-4 years,2,MacOS,True,"english, spanish, elvish",1996-09-09,1900-01-01 08:00:00,1900-01-01 00:00:00,,,,3,27.0
graduate certificate [extension school],2-4 years,4,Windows,True,"english, spanish",1988-04-21,1900-01-01 05:45:00,1900-01-01 22:00:00,blade runner,"action, drama, horror, sci-fi, fantasy, mystery/thriller, documentary","gaming, hiking, snowboarding",2,35.0
bachelor's (statistics),Less than 1 year,1,MacOS,True,"french, english",2003-04-16,1900-01-01 08:00:00,1900-01-01 01:00:00,la la land,"comedy, mystery/thriller","volleyball, jazz piano, rubik’s cubing",2,20.0
phd,Less than 1 year,1,MacOS,False,english,1993-07-31,1900-01-01 07:30:00,1900-01-01 23:00:00,parent trap,"comedy, drama, romance, documentary","running, hiking, baking",1,30.0
master's (ds),1-2 years,3,Linux,True,"english, spanish, shanghainese, japanese",1998-01-14,1900-01-01 09:00:00,1900-01-01 02:00:00,5 centimeters per second,"action, comedy, mystery/thriller, romance, documentary","playing video games, watching anime, bartending",4,25.0
bachelor's (statistics),1-2 years,4,Windows,False,"english, chinese",2002-02-09,1900-01-01 09:00:00,1900-01-01 23:00:00,inception,"comedy, drama, sci-fi, fantasy, romance","cooking, playing saxophone",2,21.0
bachelor's (cs),2-4 years,1,Windows,True,"english, french",2003-03-23,1900-01-01 08:00:00,1900-01-01 00:00:00,everything everywhere all at once,"comedy, drama, documentary","playing viola, walking, pottery",2,20.0
master's (ds),1-2 years,3,MacOS,True,"chinese, english",2001-02-28,1900-01-01 09:00:00,1900-01-01 00:30:00,green book,drama,"watching soccer, playing frisbee",2,22.0
bachelor's (cs),2-4 years,2,Windows,True,english,2003-03-20,1900-01-01 08:30:00,1900-01-01 00:30:00,oppenheimer,"action, drama, mystery/thriller, documentary",hiking,1,20.0
graduate certificate [extension school],1-2 years,3,MacOS,False,"english, korean",1996-05-22,1900-01-01 08:30:00,1900-01-01 13:00:00,parasite,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","eating, gardening, reading",2,27.0
bachelor's (statistics),Less than 1 year,1,Windows,False,"spanish, english, french",2003-07-03,1900-01-01 08:30:00,1900-01-01 01:00:00,mean girls,"action, comedy, horror","cooking, volleyball, journaling",3,20.0
master's (ds),1-2 years,2,MacOS,True,"mandarin, english",1999-01-18,1900-01-01 11:00:00,1900-01-01 03:00:00,harry potter,"action, comedy, drama, horror, sci-fi, fantasy, mystery/thriller, romance, documentary","playing video games, watching movies, hiking",2,24.0
master's (ds) [extension school],1-2 years,2,Windows,False,"english, gujarati, hindi, french, spanish",1996-11-23,1900-01-01 07:00:00,1900-01-01 00:00:00,shawshank redemption,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","coin collecting, playing soccer, running",5,26.0
bachelor's (am),2-4 years,1,Windows,True,"english, afrikaans",2002-07-04,1900-01-01 09:00:00,1900-01-01 00:30:00,chef,"comedy, romance, documentary","running parties, flute, running",2,21.0
bachelor's (cs),Less than 1 year,1,MacOS,True,"english, korean, spanish, chinese",2003-06-06,1900-01-01 06:50:00,1900-01-01 00:00:00,10 things i hate about you,"action, comedy, drama, romance","pole-dancing, traveling, singing",4,20.0
phd,Less than 1 year,1,MacOS,False,"english, hindi, tamil",1993-09-18,1900-01-01 08:30:00,1900-01-01 02:30:00,fight club,"comedy, mystery/thriller, romance","dancing, singing, watching shows and movies",3,29.0
,Less than 1 year,1,MacOS,True,english,1993-07-09,1900-01-01 07:00:00,1900-01-01 00:00:00,2001: a space odyssey ,sci-fi,"playing violin, biking, dragon boating",1,30.0
phd,1-2 years,2,Windows,True,"korean, english, chinese",1991-07-19,1900-01-01 07:30:00,1900-01-01 00:00:00,elemental,"action, comedy, sci-fi, mystery/thriller","jogging, playing tennis",3,32.0
bachelor's (cs),Less than 1 year,1,MacOS,False,english,2002-10-11,1900-01-01 09:00:00,1900-01-01 11:30:00,parent trap,"comedy, drama, romance",running,1,20.0
bachelor's (mechanical engineering) ,2-4 years,2,MacOS,True,english,2002-05-14,1900-01-01 08:30:00,1900-01-01 00:30:00,the shawshank redemption ,"action, drama, sci-fi, documentary","playing poker, sailing, watching formula 1",1,21.0
bachelor's (cs),2-4 years,3,Windows,True,"english, chinese",2004-02-02,1900-01-01 08:00:00,1900-01-01 00:00:00,forrest gump,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, documentary","crocheting/knitting, video games, collecting ducks",2,19.0
ms/mba,Less than 1 year,1,MacOS,False,"mandarin, english ",2000-05-14,1900-01-01 08:30:00,1900-01-01 01:00:00,一一,"sci-fi, mystery/thriller, documentary","sleep, sleep, sleep",2,23.0
phd,2-4 years,2,MacOS,True,english,1997-10-19,1900-01-01 08:00:00,1900-01-01 00:00:00,whiplash,"action, horror, sci-fi","rock climbing, drumming, live music",1,25.0
hse,4+ years,4,MacOS,True,"english, spanish, portuguese, dutch",1978-09-07,1900-01-01 09:30:00,1900-01-01 02:00:00,dead poet society,"action, comedy, drama, mystery/thriller, documentary"," car racing, music, movies",4,45.0
ms/mba,Less than 1 year,1,MacOS,False,"english, mongolian",1995-08-30,1900-01-01 08:00:00,1900-01-01 01:00:00,i origin,"comedy, sci-fi, mystery/thriller, romance","anime, cooking",2,28.0
doctor of design ,2-4 years,4,Windows,True,"english, chinese ",1997-06-07,1900-01-01 08:20:00,1900-01-01 00:00:00,zootopia ,"sci-fi, fantasy, romance","tennis, league of legends, switch ",2,26.0
bachelor's (statistics),1-2 years,2,MacOS,True,"urdu, english, hindi",2003-11-12,1900-01-01 09:00:00,1900-01-01 02:00:00,the dark knight,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","fantasy football, basketball, hiking",3,19.0
master's (ds) [extension school],Less than 1 year,2,MacOS,True,english just about ,1974-07-16,1900-01-01 07:00:00,1900-01-01 01:00:00,apocalypse now,"action, comedy, sci-fi, mystery/thriller, documentary","photography, drinking (cocktails), spoiling my dog",1,49.0
bachelor's (am),2-4 years,4,MacOS,True,"spanish, english",2001-10-29,1900-01-01 08:30:00,1900-01-01 01:00:00,forrest gump,"sci-fi, mystery/thriller","basketball, music, gaming",2,21.0
phd,2-4 years,3,Linux,False,"urdu, english, german",1996-06-02,1900-01-01 10:00:00,1900-01-01 03:00:00,all ladies do it,"action, comedy, horror, romance","eating, drinking, sleeping",3,27.0
bachelor's (cs),2-4 years,4,MacOS,True,englis,2002-10-17,1900-01-01 07:45:00,1900-01-01 23:30:00,good will hunting,"action, comedy, drama, horror, sci-fi, fantasy","soccer, graphic design, pandas",1,20.0
bachelor's (cs),1-2 years,2,MacOS,True,"english, spanish",2003-07-28,1900-01-01 09:00:00,1900-01-01 01:00:00,babylon,"action, drama, horror, sci-fi, mystery/thriller, romance","soccer, chess, writing movies reviews",2,20.0
ms/mba,Less than 1 year,1,MacOS,False,"chinese, english",2001-03-31,1900-01-01 09:00:00,1900-01-01 01:00:00,barbie,"action, sci-fi, fantasy, documentary","playing board games, swimming",2,22.0
master's (ds),4+ years,5,MacOS,True,"english, french, spanish",2000-04-19,1900-01-01 08:30:00,1900-01-01 00:00:00,asterix mission cléopatre,"action, comedy, fantasy, documentary","reading, dance, cooking",3,23.0
ms/mba,1-2 years,1,Windows,False,"spanish, english",2001-05-21,1900-01-01 07:00:00,1900-01-01 23:00:00,tarzan,"action, comedy, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","cooking, piano",2,22.0
bachelor's (cs),2-4 years,4,MacOS,True,"english, japanese",2002-11-18,1900-01-01 08:00:00,1900-01-01 01:00:00,monty python and the holy grail,"comedy, drama, mystery/thriller, romance, documentary","playing music, dancing",2,20.0
bachelor's (cs),4+ years,3,MacOS,True,english,2004-04-12,1900-01-01 08:30:00,1900-01-01 00:30:00,memento,"action, sci-fi, mystery/thriller","dance, watching movies",1,19.0
ms/mba,Less than 1 year,1,MacOS,True,"welsh, gaelic, guaraní",1980-01-01,1900-01-01 13:00:00,1900-01-01 05:00:00,fifty shades of grey,romance,"figure painting, swimming, water polo",3,43.0
bachelor's (am),1-2 years,1,MacOS,True,"english, mandarin",2001-10-15,1900-01-01 09:00:00,1900-01-01 01:00:00,interstellar,"action, sci-fi, fantasy","anime, cooking, reading",2,21.0
bachelor's (chemistry and physics),Less than 1 year,1,Windows,False,english,2001-06-06,1900-01-01 07:00:00,1900-01-01 01:00:00,alien,"action, drama, horror, sci-fi, fantasy, mystery/thriller","cooking, cafe hopping, singing",1,22.0
ms/mba,1-2 years,2,Windows,False,mandarine,2000-06-21,1900-01-01 07:30:00,1900-01-01 00:30:00,interstellar,"sci-fi, fantasy","watch animation, board game ",1,23.0
masters of biomedical informatics [hms],Less than 1 year,1,Windows,True,"english, spanish, portuguese",2000-09-21,1900-01-01 07:00:00,1900-01-01 02:00:00,rush hour,"action, comedy, drama, sci-fi, mystery/thriller, documentary","swimming, playing the drums, watching netflix",3,22.0
ms/mba,1-2 years,2,MacOS,True,"english, hindi, french",1996-02-03,1900-01-01 09:00:00,1900-01-01 02:00:00,finding nemo,"comedy, drama, horror, sci-fi, fantasy, documentary","scuba diving, board games, photography",3,27.0
bachelor's (cs),1-2 years,1,MacOS,True,"english, spanish",2003-01-09,1900-01-01 08:00:00,1900-01-01 00:00:00,practical magic ,"action, fantasy","mechanical keyboards, gardening",2,20.0
bachelor's (math) master's (cse),Less than 1 year,1,Windows,True,"chinese, english",2003-05-07,1900-01-01 08:00:00,1900-01-01 01:00:00,free willy,"action, drama, sci-fi, fantasy, mystery/thriller, romance, documentary","classical piano, video games, painting",2,20.0
ms/mba,1-2 years,1,Windows,True,chinese,1998-04-09,1900-01-01 08:30:00,1900-01-01 00:00:00,interstellar ,"action, sci-fi, fantasy","playing video games, playing basketball",1,25.0
bachelor's (cs),1-2 years,3,MacOS,True,"mandarin, english",2003-01-31,1900-01-01 08:45:00,1900-01-01 02:00:00,scott pilgrim vs. the world,"action, comedy, drama, horror, mystery/thriller","playing video games, reading",2,20.0
bachelor's (cs),1-2 years,4,MacOS,True,"english, spanish",2002-02-20,1900-01-01 09:40:00,1900-01-01 01:30:00,,,,2,21.0
master's (ds) [extension school],2-4 years,3,Windows,False,"english, hindi, marathi",1974-09-15,1900-01-01 05:00:00,1900-01-01 22:00:00,gladiator,"action, drama, mystery/thriller","gardening, cooking",3,48.0
bachelor's (statistics),1-2 years,2,MacOS,True,english,,1900-01-01 09:00:00,1900-01-01 01:00:00,,"action, comedy",,1,
master's (ds) [extension school],1-2 years,3,MacOS,False,"english, french, german",1998-09-13,1900-01-01 07:00:00,1900-01-01 11:00:00,can’t pick,"action, comedy, horror, sci-fi, fantasy, mystery/thriller, documentary","playing piano, reading",3,24.0
master's (ds) [extension school],1-2 years,3,Windows,True,english,1979-01-01,1900-01-01 04:30:00,1900-01-01 21:00:00,,"action, drama, sci-fi, documentary","running, cycling",1,44.0
economics ,Less than 1 year,1,Windows,True,english,1996-11-19,1900-01-01 08:30:00,1900-01-01 23:00:00,la jette ,"drama, horror, sci-fi, fantasy, mystery/thriller","moviemaking, boxing, chess",1,26.0
bachelor’s (economics),Less than 1 year,1,MacOS,False,"english, korean",2002-06-06,1900-01-01 07:00:00,1900-01-01 00:00:00,barbie,"action, comedy, drama, horror, sci-fi, mystery/thriller, romance, documentary","reading, yoga, walking",2,21.0
"bachelor's english, secondary cs",1-2 years,3,MacOS,True,"english, spanish, tagalog, vietnamese",2001-12-23,1900-01-01 08:00:00,1900-01-01 02:00:00,chungking express,"action, comedy, drama, fantasy, romance","breakdancing, playing guitar, taking naps",4,21.0
master's (ds) [extension school],4+ years,4,MacOS,True,english,1987-06-08,1900-01-01 07:00:00,1900-01-01 23:00:00,the lord of the rings,"action, sci-fi, fantasy","hiking, biking, running",1,36.0
master's (ds),Less than 1 year,1,Windows,False,"english, kiswahili, french",1999-12-29,1900-01-01 07:00:00,1900-01-01 00:00:00,the proposal,"action, comedy, romance","sleeping, eating, reading",3,23.0
bachelor's (statistics),1-2 years,1,MacOS,True,"english, spanish, swedish",2003-01-18,1900-01-01 07:00:00,1900-01-01 02:30:00,gnomeo and juliet,"horror, mystery/thriller","baking, climbing, painting",3,20.0
graduate certificate [extension school],1-2 years,4,MacOS,True,"english, tagalog",1989-04-15,1900-01-01 07:00:00,1900-01-01 22:30:00,independence day,"action, sci-fi, mystery/thriller, documentary","golf, travel, tennis",2,34.0
bachelor's (economics),Less than 1 year,1,Windows,False,"english, spanish, chinese",2001-11-24,1900-01-01 08:00:00,1900-01-01 03:00:00,guardians of the galaxy 3,"comedy, sci-fi, fantasy, mystery/thriller, romance","songwriting, basketball, shotglass collecting",3,21.0
master's (ds) [extension school],2-4 years,2,Windows,True,english,2000-08-21,1900-01-01 08:00:00,1900-01-01 02:00:00,whiplash,"action, comedy, drama, mystery/thriller, romance","soccer, music and traveling",1,23.0
