program,python_exp,pandas_skill,os,dark_mode,languages,dob,waketime,bedtime,fav_movie,movie_genres,hobbies,num_lang
master's (ds) [extension school],4+ years,4,Linux,True,"English, German",1984-12-03,1900-01-01 07:00:00,1900-01-01 00:30:00,Mullholand Drive,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary, Experimental/Avant-garde/Artsy-fartsy","playing guitar, language learning, watching movies",2
master's (cse),4+ years,3,MacOS,False,"English, Chinese, French",2001-05-05,1900-01-01 06:30:00,1900-01-01 01:00:00,Interstellar,"Action, Sci-Fi","Tennis, cooking, swimming",3
master's (ds),Less than 1 year,1,MacOS,False,"Swedish, English, French",2000-08-10,1900-01-01 08:00:00,1900-01-01 23:30:00,Interstellar,"Action, Comedy, Drama","playing tennis, watching f1, going to concerts",3
bachelor's (mathematics),1-2 years,2,Linux,False,"Hakka, Mandarin, French, English",2003-02-11,1900-01-01 08:45:00,1900-01-01 12:30:00,Molly's Game,"Comedy, Drama, Mystery/Thriller, Romance, Documentary","Figure skating, rock climbing, drinking wine",4
master's (ds),2-4 years,2,MacOS,True,"English, Norwegian, Italian, Spanish",2002-10-11,1900-01-01 08:00:00,1900-01-01 00:00:00,Harry Potter,"Action, Comedy, Drama, Mystery/Thriller, Romance, Documentary","playing soccer, hang out with friends, play board games",4
master's (mde),1-2 years,1,MacOS,False,"English, Mandarin",1997-02-21,1900-01-01 08:30:00,1900-01-01 01:00:00,The Truman Show,"Action, Drama, Sci-Fi, Fantasy, Romance","Dancing, Painting, Board Games",2
master's (ds),4+ years,3,MacOS,True,English,2000-11-13,1900-01-01 06:00:00,1900-01-01 00:00:00,Step Brothers,Comedy,"Lifting, gaming, sleeping",1
master's (ds),1-2 years,1,MacOS,False,English,1997-03-11,1900-01-01 11:00:00,1900-01-01 01:00:00,Kung Fu Panda,"Action, Romance","Nintendo, Watching Football, Taking a Walk",1
phd,1-2 years,3,MacOS,False,"English, Spanish",2000-11-21,1900-01-01 07:15:00,1900-01-01 23:00:00,Avengers: Endgame,"Action, Comedy, Drama, Sci-Fi, Fantasy, Romance","reading, cooking, listening to music",2
bachelor (meche),2-4 years,3,MacOS,True,"Italian, English, Spanish",2002-02-23,1900-01-01 09:30:00,1900-01-01 02:00:00,Rush,"Action, Comedy, Drama, Sci-Fi, Documentary","Formula 1, Welding, Chess",3
master's (ds) [extension school],Less than 1 year,2,MacOS,True,"English, Malayalam, Spanish ",1992-04-25,1900-01-01 06:45:00,1900-01-01 23:30:00,,"Comedy, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Hiking, long distance running",3
ms/mba,1-2 years,3,Windows,False,Chineses,2000-05-10,1900-01-01 08:00:00,1900-01-01 11:30:00,,Sci-Fi,"Reading online novel, playing table tennis, meditating",1
bachelor's (cs),2-4 years,4,Windows,True,"English, Chinese",2003-02-17,1900-01-01 09:00:00,1900-01-01 01:00:00,Fight Club,"Action, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Weightlifting, Video Games",2
bachelor's (chemistry),2-4 years,2,MacOS,True,"English, Mandarin",2002-09-11,1900-01-01 09:00:00,1900-01-01 01:00:00,Amadeus,"Action, Comedy, Drama, Documentary","piano, chess, bridge",2
bachelor's(physics/math joint),1-2 years,3,MacOS,True,English,2002-04-03,1900-01-01 08:00:00,1900-01-01 00:00:00,Spider-Man: Into the Spider-Verse,"Action, Comedy, Fantasy","poker, basketball, long walks",1
master's (ds),1-2 years,2,MacOS,True,"English, Chinese",2000-01-25,1900-01-01 08:20:00,1900-01-01 01:20:00,The Matrix,"Action, Sci-Fi, Mystery/Thriller","movies, LEGO sets, jogging",2
master's (mde),Less than 1 year,2,Windows,False,"English, Madarin, Japanese",1997-10-23,1900-01-01 07:30:00,1900-01-01 12:00:00,Interstella,"Comedy, Sci-Fi, Fantasy, Romance","traveling, learning new languages, swimming",3
phd,4+ years,1,MacOS,False,"English, Mandarin Chinese",1998-04-30,1900-01-01 09:30:00,1900-01-01 01:30:00,Inception,"Action, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Singing, reading, playing piano",2
master's (ds) [extension school],4+ years,3,MacOS,True,"English, Spanish, SQL",1979-08-21,1900-01-01 06:00:00,1900-01-01 22:00:00,Dr. Strangelove,"Action, Comedy, Drama, Mystery/Thriller, Romance, Documentary","riding bike, watching Liverpool FC, traveling",3
bachelors (earth and planetary sciences),2-4 years,3,MacOS,True,"English, Spanish, French",2001-12-12,1900-01-01 07:30:00,1900-01-01 00:30:00,Shrek,"Action, Comedy, Horror","running, dancing, hanging out with friends",3
master's (ds),2-4 years,3,MacOS,False,English,2001-01-04,1900-01-01 08:30:00,1900-01-01 00:30:00,Dear Evan Hansen (2021),"Action, Comedy, Drama, Romance, Documentary","Running, puzzles, pickleball",1
bachelor's (math),Less than 1 year,1,Windows,True,English,2001-11-10,1900-01-01 07:00:00,1900-01-01 00:00:00,Shrek,Horror,"loafing, walking, just dance",1
bachelor's (history),Less than 1 year,1,MacOS,True,"English, Spanish",2001-05-18,1900-01-01 08:30:00,1900-01-01 01:30:00,,"Action, Comedy, Fantasy, Anime","existential crisis, playing music, loafing",2
bachelor's (cs),2-4 years,3,MacOS,True,English,2002-01-21,1900-01-01 08:15:00,1900-01-01 00:30:00,Rocky,"Action, Comedy, Mystery/Thriller","playing fantasy football, hanging out with friends, sports betting",1
bachelors (government),Less than 1 year,1,Windows,False,"Malayalam, Spanish, English",2004-04-09,1900-01-01 08:30:00,1900-01-01 02:00:00,Coraline,Horror,"Eating good food, exploring cool places, and making new friends",3
cross register from mit,1-2 years,1,MacOS,True,"Chinese, English",2001-01-18,1900-01-01 08:30:00,1900-01-01 12:27:00,Flipped,"Action, Comedy, Drama, Fantasy, Romance, Documentary","kayaking, singing, watching movies",2
bachelor's (cs),2-4 years,4,Windows,True,English,2003-07-16,1900-01-01 08:00:00,1900-01-01 23:30:00,Avatar,"Action, Sci-Fi, Fantasy","golf, poker, ping pong",1
bachelor's (cs),1-2 years,1,MacOS,False,"English, Spanish",2002-05-14,1900-01-01 09:30:00,1900-01-01 01:00:00,Train to Busan,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller","weightlifting, hiking, reading",2
bachelor's (am),4+ years,4,MacOS,False,"English, Python",2001-09-04,1900-01-01 09:00:00,1900-01-01 11:30:00,Miracle,"Action, Comedy, Fantasy, Romance, Documentary, romcom","baseball, hiking, watching hockey",2
bachelor's (cs),1-2 years,3,Windows,True,English,2003-02-17,1900-01-01 08:00:00,1900-01-01 00:00:00,Lord of the Rings Return of the King,"Action, Comedy, Sci-Fi, Fantasy","Running, Reading, Hiking",1
bachelor's (social studies),2-4 years,1,MacOS,False,"English, Spanish, Hebrew",,1900-01-01 09:00:00,1900-01-01 01:00:00,,"Action, Comedy, Mystery/Thriller","Hiking, biking, backpacking",3
bachelor's (economics),Less than 1 year,2,MacOS,True,English,2002-10-28,1900-01-01 07:50:00,1900-01-01 11:45:00,Train to Busan,"Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Romance","Reading, Taekwondo, Magic the Gathering",1
master's (ds) [extension school],Less than 1 year,1,MacOS,True,"English, Korean, German, French, Chinese (Mandarin)",1990-08-31,1900-01-01 07:20:00,1900-01-01 00:00:00,The Shawshank Redemption,"Drama, Sci-Fi, Fantasy, Mystery/Thriller","Playing piano, playing tennis, traveling",5
bachelor's (am),1-2 years,3,MacOS,True,"Mandarin, Cantonese, English",2001-12-01,1900-01-01 06:00:00,1900-01-01 00:00:00,Interstellar,"Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","cooking, working out, listening to music",3
bachelor's (statistics),Less than 1 year,2,MacOS,False,"English, Mandarin",2001-09-17,1900-01-01 07:00:00,1900-01-01 02:00:00,La La Land,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","playing tennis, going hiking, jazz music",2
bachelor's (statistics),1-2 years,3,MacOS,False,"English, Greek",2002-01-17,1900-01-01 09:00:00,1900-01-01 01:30:00,Raging Bull,"Comedy, Drama, Horror, Fantasy, Mystery/Thriller","hooping, peeing, watching Pavlos lecture",2
master's (ds),2-4 years,3,Windows,False,"English, Korean, French",2000-05-10,1900-01-01 07:30:00,1900-01-01 00:30:00,The Silence of the Lambs,"Action, Sci-Fi, Mystery/Thriller","Guitar, swimming, hiking",3
phd,Less than 1 year,2,MacOS,False,"python, bash",1998-06-16,1900-01-01 07:00:00,1900-01-01 00:00:00,Lady Bird,"Comedy, Cerebral","cycling, photography, weights",2
master's (ds),2-4 years,3,Windows,True,"English, Hindi, Gujarati",2002-01-26,1900-01-01 12:00:00,1900-01-01 03:00:00,Rockstar,"Comedy, Sci-Fi, Documentary","Weightlifting, Sudokus, Quizzing",3
master's (ds),4+ years,5,MacOS,False,Thai,1997-12-29,1900-01-01 09:00:00,1900-01-01 01:00:00,Kung Fu Panda,"Action, Comedy, Fantasy, Mystery/Thriller","Table Tennis, Eating, Video gaming",1
bachelor's (cs),1-2 years,1,MacOS,True,English,2002-03-22,1900-01-01 08:00:00,1900-01-01 00:00:00,Anchorman 2,"Comedy, Romance","Lifting weights, reading, training my bird",1
master's (ds) [extension school],1-2 years,3,Windows,False,"English, Indonesia",1975-11-24,1900-01-01 07:00:00,1900-01-01 23:00:00,Bourne Identity,"Action, Comedy, Drama, Sci-Fi, Documentary","Running, Tennis, Swimming",2
data science graduate certificate,2-4 years,4,Windows,True,"English, Spanish",1988-04-21,1900-01-01 05:45:00,1900-01-01 22:00:00,Blade Runner,"Action, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Gaming, Hiking, Snowboarding",2
bachelor's (statistics),Less than 1 year,1,MacOS,True,"French, English",2003-04-16,1900-01-01 08:00:00,1900-01-01 01:00:00,La La Land,"Comedy, Mystery/Thriller","Volleyball, Jazz Piano, Rubik’s Cubing",2
phd,Less than 1 year,1,MacOS,False,english,1993-07-31,1900-01-01 07:30:00,1900-01-01 23:00:00,parent trap,"Comedy, Drama, Romance, Documentary","running, hiking, baking",1
master's (ds),1-2 years,3,Linux,True,"English, Spanish, Shanghainese, Japanese",1998-01-14,1900-01-01 09:00:00,1900-01-01 02:00:00,5 Centimeters per Second,"Action, Comedy, Mystery/Thriller, Romance, Documentary","playing video games, watching anime, bartending",4
bachelor's (statistics),1-2 years,4,Windows,False,"English, Chinese",2002-02-09,1900-01-01 09:00:00,1900-01-01 23:00:00,Inception,"Comedy, Drama, Sci-Fi, Fantasy, Romance","cooking, playing saxophone",2
bachelor's (cs),2-4 years,1,Windows,True,"English, French",2003-03-23,1900-01-01 08:00:00,1900-01-01 00:00:00,Everything Everywhere All At Once,"Comedy, Drama, Documentary","playing viola, walking, pottery",2
master's (ds),1-2 years,3,MacOS,True,"Chinese, English",2001-02-28,1900-01-01 09:00:00,1900-01-01 00:30:00,Green Book,Drama,"watching soccer, playing frisbee",2
bachelor's (cs),2-4 years,2,Windows,True,English,2003-03-20,1900-01-01 08:30:00,1900-01-01 00:30:00,Oppenheimer,"Action, Drama, Mystery/Thriller, Documentary",hiking,1
certificate program [extension school],1-2 years,3,MacOS,False,"English, Korean",1996-05-22,1900-01-01 08:30:00,1900-01-01 13:00:00,Parasite,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","eating, gardening, reading",2
bachelor's (statistics),Less than 1 year,1,Windows,False,"Spanish, English, French",2003-07-03,1900-01-01 08:30:00,1900-01-01 01:00:00,Mean Girls,"Action, Comedy, Horror","Cooking, volleyball, journaling",3
master's (ds),1-2 years,2,MacOS,True,"Mandarin, English",1999-01-18,1900-01-01 11:00:00,1900-01-01 03:00:00,Harry Potter,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","playing video games, watching movies, hiking",2
master's (ds) [extension school],1-2 years,2,Windows,False,"English, Gujarati, Hindi, French, Spanish",1996-11-23,1900-01-01 07:00:00,1900-01-01 00:00:00,Shawshank Redemption,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Coin collecting, playing soccer, running",5
bachelor's (am),2-4 years,1,Windows,True,"English, Afrikaans",2002-07-04,1900-01-01 09:00:00,1900-01-01 00:30:00,Chef,"Comedy, Romance, Documentary","Running parties, flute, running",2
bachelor's (cs),Less than 1 year,1,MacOS,True,"English, Korean, Spanish, Chinese",2003-06-06,1900-01-01 06:50:00,1900-01-01 00:00:00,10 Things I Hate About You,"Action, Comedy, Drama, Romance","Pole-dancing, traveling, singing",4
phd,Less than 1 year,1,MacOS,False,"English, Hindi, Tamil",1993-09-18,1900-01-01 08:30:00,1900-01-01 02:30:00,Fight Club,"Comedy, Mystery/Thriller, Romance","Dancing, Singing, Watching shows and movies",3
,Less than 1 year,1,MacOS,True,English,1993-07-09,1900-01-01 07:00:00,1900-01-01 00:00:00,2001: A space Odyssey ,Sci-Fi,"playing violin, biking, dragon boating",1
phd,1-2 years,2,Windows,True,"Korean, English, Chinese",1991-07-19,1900-01-01 07:30:00,1900-01-01 00:00:00,Elemental,"Action, Comedy, Sci-Fi, Mystery/Thriller","Jogging, playing tennis",3
bachelor's (cs),Less than 1 year,1,MacOS,False,English,2002-10-11,1900-01-01 09:00:00,1900-01-01 11:30:00,Parent Trap,"Comedy, Drama, Romance",Running,1
bachelor's (mechanical engineering) ,2-4 years,2,MacOS,True,English,2002-05-14,1900-01-01 08:30:00,1900-01-01 00:30:00,The Shawshank Redemption ,"Action, Drama, Sci-Fi, Documentary","Playing poker, sailing, watching Formula 1",1
bachelor's (cs),2-4 years,3,Windows,True,"English, Chinese",2004-02-02,1900-01-01 08:00:00,1900-01-01 00:00:00,Forrest Gump,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Crocheting/knitting, video games, collecting ducks",2
ms/mba,Less than 1 year,1,MacOS,False,"Mandarin, English ",2000-05-14,1900-01-01 08:30:00,1900-01-01 01:00:00,一一,"Sci-Fi, Mystery/Thriller, Documentary","sleep, sleep, sleep",2
phd,2-4 years,2,MacOS,True,English,1997-10-19,1900-01-01 08:00:00,1900-01-01 00:00:00,Whiplash,"Action, Horror, Sci-Fi","Rock climbing, drumming, live music",1
hse,4+ years,4,MacOS,True,"English, Spanish, Portuguese, Dutch",1978-09-07,1900-01-01 09:30:00,1900-01-01 02:00:00,Dead Poet Society,"Action, Comedy, Drama, Mystery/Thriller, Documentary"," car racing, music, movies",4
ms/mba,Less than 1 year,1,MacOS,False,"English, Mongolian",1995-08-30,1900-01-01 08:00:00,1900-01-01 01:00:00,I origin,"Comedy, Sci-Fi, Mystery/Thriller, Romance","Anime, cooking",2
doctor of design ,2-4 years,4,Windows,True,"English, Chinese ",1997-06-07,1900-01-01 08:20:00,1900-01-01 00:00:00,Zootopia ,"Sci-Fi, Fantasy, Romance","Tennis, League of Legends, Switch ",2
bachelor's (statistics),1-2 years,2,MacOS,True,"Urdu, English, Hindi",2003-11-12,1900-01-01 09:00:00,1900-01-01 02:00:00,The Dark Knight,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","Fantasy Football, Basketball, Hiking",3
master's (ds) [extension school],Less than 1 year,2,MacOS,True,English just about ,1974-07-16,1900-01-01 07:00:00,1900-01-01 01:00:00,Apocalypse Now,"Action, Comedy, Sci-Fi, Mystery/Thriller, Documentary","Photography, drinking (cocktails), spoiling my dog",1
bachelor's (am),2-4 years,4,MacOS,True,"Spanish, English",2001-10-29,1900-01-01 08:30:00,1900-01-01 01:00:00,Forrest Gump,"Sci-Fi, Mystery/Thriller","Basketball, Music, Gaming",2
phd,2-4 years,3,Linux,False,"Urdu, English, German",1996-06-02,1900-01-01 10:00:00,1900-01-01 03:00:00,All Ladies Do It,"Action, Comedy, Horror, Romance","eating, drinking, sleeping",3
bachelor's (cs),2-4 years,4,MacOS,True,Englis,2002-10-17,1900-01-01 07:45:00,1900-01-01 23:30:00,Good Will Hunting,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy","Soccer, Graphic Design, Pandas",1
bachelor's (cs),1-2 years,2,MacOS,True,"English, Spanish",2003-07-28,1900-01-01 09:00:00,1900-01-01 01:00:00,Babylon,"Action, Drama, Horror, Sci-Fi, Mystery/Thriller, Romance","Soccer, chess, writing movies reviews",2
ms/mba,Less than 1 year,1,MacOS,False,"Chinese, English",2001-03-31,1900-01-01 09:00:00,1900-01-01 01:00:00,barbie,"Action, Sci-Fi, Fantasy, Documentary","playing board games, swimming",2
master's (ds),4+ years,5,MacOS,True,"English, French, Spanish",2000-04-19,1900-01-01 08:30:00,1900-01-01 00:00:00,Asterix Mission Cléopatre,"Action, Comedy, Fantasy, Documentary","reading, dance, cooking",3
ms/mba,1-2 years,1,Windows,False,"Spanish, English",2001-05-21,1900-01-01 07:00:00,1900-01-01 23:00:00,Tarzan,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","Cooking, piano",2
bachelor's (cs),2-4 years,4,MacOS,True,"English, Japanese",2002-11-18,1900-01-01 08:00:00,1900-01-01 01:00:00,Monty Python and the Holy Grail,"Comedy, Drama, Mystery/Thriller, Romance, Documentary","playing music, dancing",2
bachelor's (cs),4+ years,3,MacOS,True,English,2004-04-12,1900-01-01 08:30:00,1900-01-01 00:30:00,Memento,"Action, Sci-Fi, Mystery/Thriller","dance, watching movies",1
ms/mba,Less than 1 year,1,MacOS,True,"Welsh, Gaelic, Guaraní",1980-01-01,1900-01-01 13:00:00,1900-01-01 05:00:00,Fifty Shades of Grey,Romance,"figure painting, swimming, water polo",3
bachelor's (am),1-2 years,1,MacOS,True,"English, Mandarin",2001-10-15,1900-01-01 09:00:00,1900-01-01 01:00:00,Interstellar,"Action, Sci-Fi, Fantasy","anime, cooking, reading",2
bachelor's (chemistry and physics),Less than 1 year,1,Windows,False,English,2001-06-06,1900-01-01 07:00:00,1900-01-01 01:00:00,Alien,"Action, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller","cooking, cafe hopping, singing",1
ms/mba,1-2 years,2,Windows,False,Mandarine,2000-06-21,1900-01-01 07:30:00,1900-01-01 00:30:00,Interstellar,"Sci-Fi, Fantasy","Watch animation, Board game ",1
masters of biomedical informatics [hms],Less than 1 year,1,Windows,True,"English, Spanish, Portuguese",2000-09-21,1900-01-01 07:00:00,1900-01-01 02:00:00,Rush Hour,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Documentary","Swimming, playing the drums, watching netflix",3
ms/mba,1-2 years,2,MacOS,True,"English, Hindi, French",1996-02-03,1900-01-01 09:00:00,1900-01-01 02:00:00,Finding Nemo,"Comedy, Drama, Horror, Sci-Fi, Fantasy, Documentary","Scuba Diving, Board Games, Photography",3
bachelor's (cs),1-2 years,1,MacOS,True,"English, Spanish",2003-01-09,1900-01-01 08:00:00,1900-01-01 00:00:00,Practical Magic ,"Action, Fantasy","mechanical keyboards, gardening",2
bachelor's (math) master's (cse),Less than 1 year,1,Windows,True,"Chinese, English",2003-05-07,1900-01-01 08:00:00,1900-01-01 01:00:00,Free Willy,"Action, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","classical piano, video games, painting",2
ms/mba,1-2 years,1,Windows,True,Chinese,1998-04-09,1900-01-01 08:30:00,1900-01-01 00:00:00,Interstellar ,"Action, Sci-Fi, Fantasy","playing video games, playing basketball",1
bachelor's (cs),1-2 years,3,MacOS,True,"Mandarin, English",2003-01-31,1900-01-01 08:45:00,1900-01-01 02:00:00,Scott Pilgrim vs. the World,"Action, Comedy, Drama, Horror, Mystery/Thriller","playing video games, reading",2
master's (ds) [extension school],2-4 years,3,Windows,False,"English, Hindi, Marathi",1974-09-15,1900-01-01 05:00:00,1900-01-01 22:00:00,Gladiator,"Action, Drama, Mystery/Thriller","Gardening, cooking",3
master's (ds) [extension school],1-2 years,3,MacOS,False,"English, French, German",1998-09-13,1900-01-01 07:00:00,1900-01-01 11:00:00,Can’t pick,"Action, Comedy, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Playing piano, reading",3
master's (ds) [extension school],1-2 years,3,Windows,True,English,1979-01-01,1900-01-01 04:30:00,1900-01-01 21:00:00,,"Action, Drama, Sci-Fi, Documentary","running, cycling",1
economics ,Less than 1 year,1,Windows,True,English,1996-11-19,1900-01-01 08:30:00,1900-01-01 23:00:00,La Jette ,"Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Moviemaking, Boxing, Chess",1
bachelor’s (economics),Less than 1 year,1,MacOS,False,"English, Korean",2002-06-06,1900-01-01 07:00:00,1900-01-01 00:00:00,Barbie,"Action, Comedy, Drama, Horror, Sci-Fi, Mystery/Thriller, Romance, Documentary","Reading, yoga, walking",2
"bachelor's english, secondary cs",1-2 years,3,MacOS,True,"English, Spanish, Tagalog, Vietnamese",2001-12-23,1900-01-01 08:00:00,1900-01-01 02:00:00,Chungking Express,"Action, Comedy, Drama, Fantasy, Romance","breakdancing, playing guitar, taking naps",4
master's (ds) [extension school],4+ years,4,MacOS,True,English,1987-06-08,1900-01-01 07:00:00,1900-01-01 23:00:00,The Lord of the Rings,"Action, Sci-Fi, Fantasy","hiking, biking, running",1
master's (ds),Less than 1 year,1,Windows,False,"English, Kiswahili, French",1999-12-29,1900-01-01 07:00:00,1900-01-01 00:00:00,The Proposal,"Action, Comedy, Romance","sleeping, eating, reading",3
bachelor's (statistics),1-2 years,1,MacOS,True,"English, Spanish, Swedish",2003-01-18,1900-01-01 07:00:00,1900-01-01 02:30:00,Gnomeo and Juliet,"Horror, Mystery/Thriller","baking, climbing, painting",3
graduate certificate,1-2 years,4,MacOS,True,"English, Tagalog",1989-04-15,1900-01-01 07:00:00,1900-01-01 22:30:00,Independence day,"Action, Sci-Fi, Mystery/Thriller, Documentary","Golf, travel, tennis",2
bachelor's (economics),Less than 1 year,1,Windows,False,"English, Spanish, Chinese",2001-11-24,1900-01-01 08:00:00,1900-01-01 03:00:00,Guardians of the Galaxy 3,"Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Romance","songwriting, basketball, shotglass collecting",3
master's (ds) [extension school],2-4 years,2,Windows,True,English,2000-08-21,1900-01-01 08:00:00,1900-01-01 02:00:00,Whiplash,"Action, Comedy, Drama, Mystery/Thriller, Romance","Soccer, Music and Traveling",1
master's (ds) [extension school],1-2 years,3,MacOS,True,"Chinese, English",1995-05-26,1900-01-01 06:30:00,1900-01-01 23:30:00,Interstellar,"Action, Sci-Fi, Fantasy, Documentary","Photography, Hiking, Reading",2
bachelor's (am),2-4 years,3,MacOS,True,"English, German, Spanish",2002-02-16,1900-01-01 08:30:00,1900-01-01 02:00:00,Cars,"Action, Comedy, Sci-Fi, Fantasy, Documentary","Running, Soccer, Robotics",3
master's (ds) [extension school],4+ years,3,MacOS,True,English,1998-01-01,1900-01-01 08:00:00,1900-01-01 23:00:00,Dune,Sci-Fi,"Snowboarding, Coding, Spikeball",1
master's (ds) [extension school],Less than 1 year,2,Windows,True,"English, Japanese, Mandarin",1975-09-10,1900-01-01 05:30:00,1900-01-01 00:00:00,Mission Impossible,"Action, Comedy, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Japanese anime, playing piano",3
ms/mba,1-2 years,2,MacOS,True,English,1992-11-07,1900-01-01 08:00:00,1900-01-01 00:00:00,Pulp Fiction,"Comedy, Drama, Mystery/Thriller, Documentary","Traveling, Dancing, Playing guitar",1
