program,python_exp,pandas_skill,os,dark_mode,languages,dob,waketime,bedtime,fav_movie,movie_genres,hobbies,num_lang
master's (cse),1-2 years,1,MacOS,False,"English, Vietnamese, Chinese",1986-08-20,1900-01-01 07:00:00,1900-01-01 11:00:00,Godfather,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller","Running, swimming",3
master's (ds) [extension school],Less than 1 year,2,Windows,True,"English, Chinese",1993-07-29,1900-01-01 10:00:00,1900-01-01 02:00:00,chungking express,"Comedy, Mystery/Thriller","video games, cooking, rock climbing",2
phd,Less than 1 year,1,MacOS,True,"Chinese, English",1999-12-22,1900-01-01 06:00:00,1900-01-01 23:00:00,Night at the museum ,Action,"watching movie, cat watching",2
bachelor's (bme),1-2 years,1,MacOS,True,"Spanish, English",2003-01-20,1900-01-01 05:30:00,1900-01-01 22:30:00,Little Women (2019),"Drama, Mystery/Thriller, Romance, Documentary","weightlifting, hiking, shopping",2
phd,Less than 1 year,2,Windows,False,"English, Spanish ",1996-12-09,1900-01-01 07:00:00,1900-01-01 23:00:00,Jojo Rabbit ,"Sci-Fi, Fantasy, Documentary","Wine tasting, running, cooking",2
ds grad certificate ,2-4 years,3,Windows,True,English,1972-11-09,1900-01-01 07:00:00,1900-01-01 23:00:00,Forrest Gump,"Drama, Sci-Fi, Documentary",Running,1
master's (ds) [extension school],1-2 years,3,Windows,True,English,1988-11-03,1900-01-01 07:15:00,1900-01-01 00:00:00,Lord of the Rings,"Action, Comedy, Sci-Fi, Fantasy, Mystery/Thriller","Gym, Stocks, Watching Sports",1
phd,4+ years,3,MacOS,True,"English, Spanish",1997-02-26,1900-01-01 07:12:00,1900-01-01 10:30:00,How to train your dragon,"Action, Comedy, Sci-Fi, Fantasy, Mystery/Thriller","running, climbing, biking, hiking, tinkering",2
phd,1-2 years,2,Windows,True,"English, French",1995-08-09,1900-01-01 07:00:00,1900-01-01 00:00:00,The Dark Knight,"Action, Comedy, Romance, Documentary","Bird watching, playing baseball, playing music, ",2
ms/mba,2-4 years,1,MacOS,True,English,1992-12-27,1900-01-01 05:00:00,1900-01-01 22:00:00,Dark Knight,Sci-Fi,"laying kazoo, bird watching, stamp collecting",1
master's (bmi),Less than 1 year,1,MacOS,False,English,2001-05-22,1900-01-01 06:00:00,1900-01-01 00:00:00,The Intern,"Comedy, Drama, Romance, Documentary","running, tennis",1
bachelor’s (engineering),1-2 years,1,MacOS,True,English,2003-10-14,1900-01-01 06:30:00,1900-01-01 23:00:00,Atonement,"Action, Comedy, Drama, Romance","playing viola, running, soccer",1
master's (ds),1-2 years,3,MacOS,True,"French, Wolof, English",2000-01-03,1900-01-01 07:30:00,1900-01-01 23:30:00,Beyond the lights,"Drama, Sci-Fi, Romance","Shopping, board games, playing sudoku",3
taking individual courses. i may eventually enroll in master's ds (extension school),4+ years,3,MacOS,False,"English, Hindi, Telugu, Tamil, Kannada",1978-07-19,1900-01-01 08:00:00,1900-01-01 01:00:00,Enemy at the gates,"Action, Comedy, Sci-Fi","Skiing, Gardening, Photography",5
master's (ds) [extension school],1-2 years,1,Windows,True,"French, English, Dutch",1985-07-18,1900-01-01 07:15:00,1900-01-01 23:00:00,Fightclub ,"Action, Drama, Mystery/Thriller, Documentary","Bike, Wellness",3
phd,Less than 1 year,1,MacOS,False,"English,Spanish,French",1994-09-29,1900-01-01 07:15:00,1900-01-01 10:15:00,Erin Brokovich,"Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller","Cooking, hiking, reading",1
phd,1-2 years,2,MacOS,True,"English,French",1998-04-30,1900-01-01 09:00:00,1900-01-01 23:00:00,The Big Short,"Action, Comedy, Drama, Sci-Fi, Fantasy, Documentary","reading, volleyball, going out",1
graduate certificate (ds) [extension school],2-4 years,3,Windows,False,English,1978-12-26,1900-01-01 05:00:00,1900-01-01 20:00:00,Army of Darkness,"Action, Sci-Fi, Mystery/Thriller","cycling, computer security, wild food",1
bachelor's (espp),Less than 1 year,1,MacOS,True,English,2001-10-23,1900-01-01 08:30:00,1900-01-01 00:00:00,The Godfather,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","Playing soccer, playing piano, hiking",1
phd,1-2 years,3,MacOS,False,English,1998-05-18,1900-01-01 06:45:00,1900-01-01 21:45:00,Lord of the Rings,"Action, Drama, Sci-Fi, Fantasy","Baking bread, brewing kombucha, climbing",1
bachelor's (statistics),2-4 years,3,MacOS,False,"English, Chinese",2003-07-01,1900-01-01 08:00:00,1900-01-01 01:00:00,Kung Fu Panda,"Action, Comedy, Documentary","Singing, going to new restaurants, reading new books",2
master's (ds),2-4 years,3,MacOS,False,"English, Spanish",2001-06-12,1900-01-01 08:00:00,1900-01-01 23:00:00,The Parent Trap,"Comedy, Drama, Mystery/Thriller","Hiking, Traveling, Cooking",2
master's (ds) [extension school],Less than 1 year,2,Windows,False,"English, Mandarin",1983-03-17,1900-01-01 07:30:00,1900-01-01 11:30:00,Three Colors Trilogy,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller","playing werewolf, travelling, antique collection",2
master's (ds),1-2 years,3,MacOS,True,"English, Mandarin ",2000-10-17,1900-01-01 07:30:00,1900-01-01 23:30:00,Howl's Moving Castle,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance","Embroidery, Crochet, watching tv shows",2
master's (ds) [extension school],4+ years,5,Linux,False,"Vietnamese, English, Japanese",1997-06-16,1900-01-01 13:00:00,1900-01-01 05:00:00,La la land,"Action, Comedy, Horror, Sci-Fi, Fantasy","playing piano, woodworking, counter strikes",3
bachelor's (statistics),Less than 1 year,1,MacOS,True,"English, Spanish",2004-07-21,1900-01-01 07:00:00,1900-01-01 23:00:00,Oppenheimer,"Action, Comedy, Drama, Horror, Mystery/Thriller, Romance","playing basketball, cooking, photography",2
master's (ds) [extension school],1-2 years,3,Windows,False,"English , Hindi , Punjabi",1981-04-15,1900-01-01 06:30:00,1900-01-01 12:00:00,The Shawshank Redemption,"Drama, Sci-Fi, Mystery/Thriller","long drives, playing poker, watching TV",3
bachelors (ba),Less than 1 year,1,MacOS,False,"Icelandic, Danish, English, Spanish, Norwegian, Mandarin",2002-05-01,1900-01-01 07:20:00,1900-01-01 11:40:00,Lord of the Rings,"Action, Comedy, Fantasy, Romance","Playing accordion, hiking, language learning",6
bachelor's (am),1-2 years,2,Windows,True,English,2001-12-17,1900-01-01 08:30:00,1900-01-01 00:30:00,Inglorious Basterds,"Action, Comedy, Horror, Sci-Fi","playing guitar, playing chess, singing",1
ms/mba,Less than 1 year,1,Windows,True,"Chinese, English ",1999-06-01,1900-01-01 08:30:00,1900-01-01 00:00:00,Harry Potter ,"Sci-Fi, Mystery/Thriller","Traveling, Mobile photography ",2
vus(visiting undergraduate student),Less than 1 year,1,MacOS,False,"English, Chinese",2003-01-30,1900-01-01 06:30:00,1900-01-01 23:00:00,Detective Conan: The Phantom of Baker Street,"Action, Comedy, Fantasy, Mystery/Thriller, Romance","swimming, watching videos, playing guzheng",2
master's (ds),2-4 years,4,MacOS,False,English,2000-09-11,1900-01-01 07:00:00,1900-01-01 22:30:00,Ferris Bueller's Day Off,"Comedy, Mystery/Thriller, Romance, Documentary","tennis, reading, running",1
,Less than 1 year,1,MacOS,False,English,1999-07-25,1900-01-01 06:00:00,1900-01-01 02:00:00,Interstellar,"Comedy, Sci-Fi, Mystery/Thriller","martial arts, dance, baking",1
i will apply for alm data science in november,Less than 1 year,3,Windows,False,"English, Urdu",1981-02-06,1900-01-01 06:00:00,1900-01-01 00:00:00,Avengers Endgame,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary","Watching movies tv, training in martial arts and browsing social media",2
bachelor's (statistics),Less than 1 year,2,MacOS,True,"English, Spanish",2000-10-05,1900-01-01 09:00:00,1900-01-01 01:00:00,A Man Called Ove,"Drama, Horror, Fantasy, Mystery/Thriller","running, taylor swift, reading",2
bachelor’s (es),1-2 years,1,MacOS,True,English,2002-06-06,1900-01-01 07:00:00,1900-01-01 22:30:00,Fight Club,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Romance","running, weightlifting, radio",1
master's (ds) [extension school],2-4 years,4,MacOS,True,"English, Urdu",1980-12-13,1900-01-01 06:00:00,1900-01-01 11:00:00,Rocky,"Action, Comedy","playing suduko, pets, walking",2
phd,Less than 1 year,1,Windows,True,"Korean, English, Spanish",1993-03-15,1900-01-01 08:00:00,1900-01-01 01:00:00,Interstellar,"Action, Comedy, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","golf, videogames, painting",3
master's (ds),1-2 years,3,MacOS,True,English,2000-01-06,1900-01-01 08:00:00,1900-01-01 23:00:00,Good Will Hunting,"Comedy, Mystery/Thriller","reading, listening to music",1
ds certificate(extension school),2-4 years,3,Windows,False,"English, Mandarin",1993-10-22,1900-01-01 08:30:00,1900-01-01 00:00:00,Harry Potter,"Comedy, Fantasy","Travelling, painting, photographing",2
master's (cse),4+ years,4,Linux,True,"English, Korean, Japanese ",2000-06-28,1900-01-01 08:00:00,1900-01-01 03:00:00,Oppenheimer,"Comedy, Sci-Fi, Documentary","Swimming, Reading, Cooking ",3
phd,Less than 1 year,1,Windows,False,"English, ASM",2000-09-28,1900-01-01 08:30:00,1900-01-01 00:00:00,The Shawshank Redemption,"Comedy, Romance",Weightlifting,2
bachelor's (am),1-2 years,2,MacOS,False,"English, Turkish",1999-12-10,1900-01-01 08:00:00,1900-01-01 00:00:00,Midnight in Paris,"Comedy, Documentary","reading, dismantling the patriarchy, singing",2
bachelor's (sociology),1-2 years,1,Windows,True,"English, Cantonese, Mandarin",2001-12-14,1900-01-01 08:30:00,1900-01-01 00:30:00,Kingsman,"Action, Comedy, Sci-Fi, Fantasy","Fighting Games, Model Building, DnD",3
hms dbmi,1-2 years,2,MacOS,True,"Chinese, English, Spanish",1999-10-01,1900-01-01 07:20:00,1900-01-01 01:00:00,Soul,"Comedy, Sci-Fi, Fantasy, Romance","music, people watching, books",3
visiting student,2-4 years,4,Windows,False,"Chinese, English",2000-05-12,1900-01-01 08:00:00,1900-01-01 00:00:00,Interstella,Sci-Fi,"Cycling, hiking, photography",2
master's (cse),Less than 1 year,3,MacOS,False,"english, urdu, pushto",1992-11-09,1900-01-01 08:00:00,1900-01-01 23:30:00,lord of the rings,"Comedy, Drama, Fantasy","pickleball, squash, viewing nature.",3
master's (ds),1-2 years,3,MacOS,False,"English, French",2001-02-09,1900-01-01 08:00:00,1900-01-01 00:00:00,Silver Linings,"Comedy, Drama, Romance, Documentary","Running, tennis, baking",2
master's (ds),2-4 years,4,Windows,True,English,2001-07-05,1900-01-01 07:45:00,1900-01-01 23:00:00,Surfs Up,"Action, Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller, Romance, Documentary, RomCom","Soccer, Fishing, Snowboarding",1
bachelor's (am),1-2 years,3,MacOS,False,"Chinese, English, Loser",2002-09-11,1900-01-01 09:00:00,1900-01-01 01:30:00,Little Women,"Action, Comedy, Drama, Sci-Fi, Fantasy","reading, baking",3
master's (ds),2-4 years,4,Windows,False,English,2001-07-03,1900-01-01 05:30:00,1900-01-01 21:00:00,Get Smart,"Comedy, Horror","Baseball, Cooking, Football",1
bachelor's (cs),4+ years,4,MacOS,True,"English, Serbian, French",2002-08-30,1900-01-01 07:30:00,1900-01-01 00:00:00,James Bond: Skyfall,"Action, Comedy, Mystery/Thriller, Documentary","Birding, Cooking, Sailing",3
bachelor's (am),Less than 1 year,1,MacOS,False,English,2004-03-09,1900-01-01 07:00:00,1900-01-01 00:30:00,Harry Potter,"Action, Comedy, Drama, Mystery/Thriller, Documentary","playing squash, piano, being with my friends",1
bachelor's (cs),2-4 years,5,Linux,True,"German, English, Senagalese",2001-05-13,1900-01-01 03:59:00,1900-01-01 04:00:00,Shawshank Redemption,Romance,Stamp Collecting,3
bachelors econ ,Less than 1 year,1,MacOS,True,"German, English, Serbian ",1999-11-05,1900-01-01 07:30:00,1900-01-01 00:15:00,The great beauty ,Documentary,"macro econ, pickle ball, lego ",3
master's (ds),2-4 years,4,MacOS,False,"English, Mandarin, Hungarian",2023-05-27,1900-01-01 08:00:00,1900-01-01 00:00:00,007,"Action, Comedy","Cooking, Soccer, Traveling",3
bachelor's (am),Less than 1 year,1,MacOS,True,"English, Italian, French, Spanish",2001-07-10,1900-01-01 08:30:00,1900-01-01 00:00:00,Love Story,"Comedy, Drama, Romance, Documentary","reading, arts & crafts, playing piano",4
ms/mba,4+ years,4,Windows,True,english,2000-09-12,1900-01-01 09:30:00,1900-01-01 01:00:00,avatar,Comedy,"running, cooking, eating",1
phd,1-2 years,2,MacOS,True,"English, Greek",1998-08-26,1900-01-01 07:00:00,1900-01-01 00:00:00,Fresh (1994) ,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Documentary","Basketball, Pottery, Tennis",2
bachelor's (cs),Less than 1 year,2,Windows,False,"Spanish, English",2002-03-16,1900-01-01 06:15:00,1900-01-01 10:30:00,Interestellar,"Comedy, Sci-Fi, Romance","soccer, watching movies, go party",2
bachelor's (gov + cs),Less than 1 year,2,MacOS,True,"English, Farsi, French, Spanish",2003-10-10,1900-01-01 08:30:00,1900-01-01 12:00:00,Pride and Prejudice (Kiera Knightley Version),"Comedy, Drama, Romance, Documentary","Reading romance novels, arts and crafts, pilates",4
phd,1-2 years,2,MacOS,True,"English, German",1999-05-08,1900-01-01 08:00:00,1900-01-01 01:00:00,Interstellar,"Action, Comedy, Sci-Fi","playing soccer, reading, sleeping",2
phd,Less than 1 year,2,MacOS,False,"English, Yoruba",1998-04-23,1900-01-01 07:00:00,1900-01-01 23:00:00,Don't have one,"Comedy, Sci-Fi, Romance","playing drums, playing trumpet, playing french horn, djing, running, biking",2
bachelor's (cs),4+ years,2,MacOS,True,"English, a bit of Spanish",2002-08-23,1900-01-01 09:00:00,1900-01-01 01:00:00,Inception,"Drama, Sci-Fi, Mystery/Thriller","Playing violin, ultimate frisbee",2
bachelor's (cs),2-4 years,3,MacOS,False,English,2001-12-31,1900-01-01 09:00:00,1900-01-01 00:15:00,Interstellar,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller","Music listening, concert-going, playing basketball",1
bachelor's (cs),2-4 years,3,MacOS,False,"english, mandarin",2001-09-10,1900-01-01 08:00:00,1900-01-01 11:00:00,the joker,"Action, Comedy, Drama","baking, travelling, walking",2
master's (ds),2-4 years,3,MacOS,True,"English, Chinese, Spanish",2001-03-02,1900-01-01 09:00:00,1900-01-01 00:00:00,Harry Potter,"Action, Comedy, Drama, Sci-Fi, Romance","Playing piano, baking, crocheting",3
bachelor's (cs),Less than 1 year,1,Windows,False,"English, Spanish",2002-05-17,1900-01-01 08:15:00,1900-01-01 00:30:00,Shawshank Redemption,"Action, Comedy, Drama, Mystery/Thriller, Romance","Making music, playing soccer, working out",2
bachelor's (am),Less than 1 year,2,MacOS,True,"Norwegian, English",2001-03-24,1900-01-01 06:30:00,1900-01-01 10:30:00,Hangover 1,"Action, Comedy","Poker, Sports Betting",2
bachelor's (am),2-4 years,3,MacOS,False,"English, Indonesian",2003-03-28,1900-01-01 08:30:00,1900-01-01 01:30:00,Moulin Rouge,"Comedy, Drama, Romance","singing, reading, knitting",2
bachelor's (am),Less than 1 year,1,MacOS,False,"English, Spanish, French",2003-01-28,1900-01-01 06:30:00,1900-01-01 23:30:00,Mean Girls,"Action, Comedy, Drama, Horror, Mystery/Thriller, Romance, Documentary","drawing, cooking",3
phd,Less than 1 year,1,MacOS,False,"English, Spanish, German",,1900-01-01 07:30:00,1900-01-01 00:30:00,,"Comedy, Mystery/Thriller","soccer, music, yoga",3
bachelor's (cs),Less than 1 year,1,MacOS,True,English,2002-03-19,1900-01-01 08:00:00,1900-01-01 00:00:00,,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance","dancing, video games, eating good food",1
phd,1-2 years,1,Windows,True,English,2000-08-30,1900-01-01 06:30:00,1900-01-01 23:30:00,Chef,"Comedy, Drama, Sci-Fi, Documentary","ultimate frisbee, climbing, camping",1
bachelor's (economics),Less than 1 year,2,Windows,True,"English, Portuguese, Spanish",2001-08-07,1900-01-01 08:00:00,1900-01-01 00:00:00,World War Z,"Action, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Documentary","Anything NBA related, playing video games, reading.",3
bachelor's (cs),1-2 years,2,MacOS,True,"English, Spanish, Mandarin, Shanghainese",2003-12-09,1900-01-01 07:45:00,1900-01-01 02:00:00,Spirited Away,"Action, Drama, Horror, Sci-Fi, Mystery/Thriller, Documentary","playing poker, playing piano, writing poetry",4
bachelor's (am),1-2 years,3,MacOS,True,English,2000-05-01,1900-01-01 08:00:00,1900-01-01 00:00:00,Zero Dark Thirty,"Drama, Documentary","Dancing, horse riding",1
bachelor's (statistics),Less than 1 year,4,MacOS,False,"English, Hebrew, Spanish, Czech",2000-09-25,1900-01-01 09:00:00,1900-01-01 23:30:00,City of God,"Comedy, Drama, Sci-Fi, Mystery/Thriller, Documentary","Skiing, Reading, Music",4
bachelor's (statistics),Less than 1 year,2,MacOS,True,"English, Spanish",2002-08-17,1900-01-01 08:00:00,1900-01-01 00:00:00,Good Will Hunting,"Comedy, Mystery/Thriller, Documentary","hiking, playing guitar, rock climbing",2
master's (ds),Less than 1 year,1,MacOS,False,Chinese / English,2001-05-10,1900-01-01 08:30:00,1900-01-01 00:00:00,The Secret Life of Walter Mitty,"Action, Comedy, Drama, Sci-Fi, Fantasy, Mystery/Thriller","sleeping, walking dog, watching movie",1
master's (cse),2-4 years,2,MacOS,False,"Hebrew, English",1995-07-30,1900-01-01 06:30:00,1900-01-01 22:30:00,,"Action, Comedy, Drama","poetry, reading",2
bachelor's (physics),2-4 years,4,Windows,False,"English (native), Chinese (intermediate)",2002-12-28,1900-01-01 08:45:00,1900-01-01 11:30:00,Moonrise Kingdom,"Action, Comedy, Sci-Fi, Fantasy","bouldering, yoga, collecting big earrings ",2
bachelor's (cpb),2-4 years,3,MacOS,False,"English, Marathi, Spanish",2003-05-06,1900-01-01 08:30:00,1900-01-01 01:00:00,Harry Potter,"Action, Comedy, Horror, Fantasy, Mystery/Thriller","art, dance, violin",3
bachelor's (statistics),1-2 years,3,MacOS,False,"Spanish, English ",2002-11-30,1900-01-01 06:30:00,1900-01-01 23:00:00,Mulholland Drive,"Drama, Horror, Documentary","Running, watching reality tv, reading ",2
bachelor's (physics),Less than 1 year,1,MacOS,True,"English, Slovak, French",2002-10-23,1900-01-01 07:00:00,1900-01-01 23:00:00,Iron man 2,"Action, Romance","Running, Watching Movies, Soccer",3
bachelor's (cs),Less than 1 year,1,MacOS,True,"English, Hindi, Spanish",2000-12-17,1900-01-01 08:30:00,1900-01-01 01:30:00,Harry Potter,"Action, Comedy, Drama","Fantasy Football, Poker, Sports Analytics",3
bachelor's (am),1-2 years,1,MacOS,True,"English, Spanish",,1900-01-01 09:00:00,1900-01-01 01:00:00,The Prestige,"Comedy, Horror, Mystery/Thriller","Hockey, Poker, Cooking
",2
masters biostatistics hsph,Less than 1 year,2,Windows,True,English,1995-06-20,1900-01-01 06:00:00,1900-01-01 11:00:00,Taxi Driver,"Action, Comedy, Horror, Sci-Fi, Fantasy, Documentary","saxophone, running, darksouls",1
bachelor's (cs),Less than 1 year,2,MacOS,True,"Arabic, English, French",2004-07-30,1900-01-01 08:30:00,1900-01-01 00:24:00,Legally Blonde,"Comedy, Drama, Horror, Romance, Documentary","Playing tennis, playing piano, making art",3
master's (ds),2-4 years,4,MacOS,False,"English, Chinese, German",2001-08-24,1900-01-01 08:15:00,1900-01-01 23:00:00,The Lord of Rings,"Sci-Fi, Fantasy","Painting, listening to music, playing video games",3
bachelor's (cs),2-4 years,4,MacOS,True,"English, Mandarin",2001-10-08,1900-01-01 08:30:00,1900-01-01 00:00:00,Pride and Prejudice,"Action, Drama, Sci-Fi, Fantasy, Mystery/Thriller, Romance",Reading,2
master's (ds),2-4 years,4,MacOS,False,"Chinese, English",2000-07-19,1900-01-01 09:00:00,1900-01-01 01:00:00,Harry Potter,"Comedy, Drama, Sci-Fi, Mystery/Thriller","kpop dancing, watching dramas, listening to music",2
bachelor's (cs),1-2 years,2,MacOS,False,English,2002-12-19,1900-01-01 05:00:00,1900-01-01 23:00:00,Interstellar,Fantasy,"Gym, Boxing, Reading",1
master's (ds) [extension school],4+ years,3,Windows,True,"English, Portuguese, Spanish",2002-11-23,1900-01-01 09:00:00,1900-01-01 01:00:00,Jurassic Park,"Action, Comedy, Fantasy","gaming, working out, video editing",3
bachelor's (statistics),4+ years,4,MacOS,True,English,2003-04-22,1900-01-01 08:30:00,1900-01-01 00:00:00,Good Will Hunting,"Comedy, Drama, Mystery/Thriller, Documentary","Hockey, weightlifting",1
bachelor's (cs),Less than 1 year,3,MacOS,True,English,2003-11-08,1900-01-01 08:00:00,1900-01-01 23:30:00,The Sandlot,"Action, Comedy, Horror, Sci-Fi","Videogames, hanging out with friends",1
phd,4+ years,3,Windows,True,English,1996-01-01,1900-01-01 07:00:00,1900-01-01 22:00:00,Pursuit of Happyness,"Action, Sci-Fi","board games, sailing, hiking",1
bachelor's (statistics),Less than 1 year,1,MacOS,True,"English, Arabic, German",2003-01-10,1900-01-01 07:30:00,1900-01-01 23:00:00,Princess Diaries 2 ,"Comedy, Mystery/Thriller, Romance","pole dancing, talking with family, learning arabic",3
bachelor's (am),2-4 years,3,MacOS,False,English,2002-05-27,1900-01-01 07:00:00,1900-01-01 00:00:00,Star Wars: A New Hope,"Action, Sci-Fi","Basketball, origami, television ",1
phd,1-2 years,2,MacOS,False,english,2000-07-13,1900-01-01 08:00:00,1900-01-01 00:00:00,mr.poppers penguins,Comedy,"soccer, listening to music, hanging with friends",1
bachelor's (cs),1-2 years,2,MacOS,True,"English, Japanese",2003-03-27,1900-01-01 08:30:00,1900-01-01 01:00:00,interstellar,"Action, Drama",walking,2
master's (ds),1-2 years,2,Windows,False,English,2001-10-17,1900-01-01 09:30:00,1900-01-01 01:30:00,Pride and Prejudice,"Action, Comedy, Drama, Romance","playing harp, drawing, reading",1
master's (ds),2-4 years,3,MacOS,False,Chinese,2000-10-20,1900-01-01 08:15:00,1900-01-01 23:30:00,,,"playing football, playing table tennis, watching YouTube",1
master's (ds),1-2 years,3,MacOS,False,"english, french, portuguese, russian,kinyarwanda",1999-11-19,1900-01-01 07:00:00,1900-01-01 22:30:00,lion king,"Comedy, Drama, Fantasy","running, reading",4
bachelor's (cs),1-2 years,1,MacOS,True,"English, French",2001-10-11,1900-01-01 08:00:00,1900-01-01 02:00:00,Interstellar,"Action, Comedy, Drama, Sci-Fi, Mystery/Thriller, Romance","ice skating, exercising, painting",2
master's (ds),2-4 years,4,MacOS,False,"English, Spanish, Hindi, Gujarati",2001-05-27,1900-01-01 08:00:00,1900-01-01 01:00:00,,"Comedy, Mystery/Thriller, Documentary","lifting weights, cooking, reading",4
bachelor's (cs),1-2 years,1,MacOS,True,"English, Spanish",2002-03-19,1900-01-01 09:00:00,1900-01-01 00:00:00,The Departed,"Action, Comedy, Mystery/Thriller, Documentary","Rowing, biking, surfing",2
phd,4+ years,3,Windows,True,"English, Spanish, Portuguese",1997-07-27,1900-01-01 08:00:00,1900-01-01 01:00:00,Team America: World Police,"Comedy, Drama, Horror, Sci-Fi, Fantasy, Mystery/Thriller","singing, gaming, reading",3
bachelor's (statistics),1-2 years,3,Windows,False,"English, Spanish",2002-08-22,1900-01-01 08:00:00,1900-01-01 00:30:00,Beyond the Spider-Verse,"Action, Comedy, Sci-Fi, Mystery/Thriller","cs109a, running, bread-making",2
